board_no,board_title,cell_no,logo_label,link_type,target_id_or_query,resolved_detail_name,image
3,アメリカ・イギリス,5,Save A Lot,direct_detail,mb-retail-0443,セーブ・ア・ロット / Save A Lot,assets/images/retail-logo-directory/logo-sheet-03.jpg
3,アメリカ・イギリス,6,Target,direct_detail,mb-retail-0445,ターゲット / Target,assets/images/retail-logo-directory/logo-sheet-03.jpg
3,アメリカ・イギリス,7,Hy-Vee,direct_detail,mb-retail-0446,ハイヴィー / Hy-Vee,assets/images/retail-logo-directory/logo-sheet-03.jpg
3,アメリカ・イギリス,8,Publix,direct_detail,mb-retail-0447,パブリックス / Publix,assets/images/retail-logo-directory/logo-sheet-03.jpg
3,アメリカ・イギリス,9,BJ’s Wholesale Club,direct_detail,mb-retail-0448,ビージェイズ・ホールセール・クラブ / BJ’s Wholesale Club,assets/images/retail-logo-directory/logo-sheet-03.jpg
3,アメリカ・イギリス,10,Food Lion,direct_detail,mb-retail-0287,アホールド・デレーズ / Food Lion,assets/images/retail-logo-directory/logo-sheet-03.jpg
3,アメリカ・イギリス,11,Whole Foods Market,direct_detail,mb-retail-0451,ホールフーズ・マーケット / Whole Foods Market,assets/images/retail-logo-directory/logo-sheet-03.jpg
3,アメリカ・イギリス,12,Amazon Fresh,database_search,Amazon Fresh,複数候補を検索表示,assets/images/retail-logo-directory/logo-sheet-03.jpg
3,アメリカ・イギリス,13,Waitrose,direct_detail,mb-retail-0464,ウェイトローズ / Waitrose,assets/images/retail-logo-directory/logo-sheet-03.jpg
3,アメリカ・イギリス,14,Co-op Food,direct_detail,mb-retail-0466,コープ・フード / Co-op Food,assets/images/retail-logo-directory/logo-sheet-03.jpg
3,アメリカ・イギリス,15,Sainsbury’s,direct_detail,mb-retail-0469,セインズベリーズ / Sainsbury’s,assets/images/retail-logo-directory/logo-sheet-03.jpg
3,アメリカ・イギリス,16,REWE,direct_detail,mb-retail-0764,レーヴェ / REWE,assets/images/retail-logo-directory/logo-sheet-03.jpg
4,世界の大手小売,1,Carrefour,direct_detail,mb-retail-0111,カルフール・フランス / Carrefour フランス,assets/images/retail-logo-directory/logo-sheet-04.jpg
4,世界の大手小売,2,Walmart,direct_detail,mb-retail-0061,ウォルマート / Walmart,assets/images/retail-logo-directory/logo-sheet-04.jpg
4,世界の大手小売,3,Costco,direct_detail,mb-retail-0084,コストコ / Costco,assets/images/retail-logo-directory/logo-sheet-04.jpg
4,世界の大手小売,4,Ahold Delhaize,database_search,Ahold Delhaize,複数候補を検索表示,assets/images/retail-logo-directory/logo-sheet-04.jpg
4,世界の大手小売,5,ALDI,direct_detail,mb-retail-0132,アルディ・ズード / ALDI SÜD,assets/images/retail-logo-directory/logo-sheet-04.jpg
4,世界の大手小売,6,Lidl,direct_detail,mb-retail-0159,リドル・ドイツ / Lidl ドイツ,assets/images/retail-logo-directory/logo-sheet-04.jpg
4,世界の大手小売,7,REWE,direct_detail,mb-retail-0764,レーヴェ / REWE,assets/images/retail-logo-directory/logo-sheet-04.jpg
4,世界の大手小売,8,EDEKA,direct_detail,mb-retail-0750,エデカ / EDEKA,assets/images/retail-logo-directory/logo-sheet-04.jpg
4,世界の大手小売,9,METRO,direct_detail,mb-retail-0203,メトロ・ドイツ / METRO ドイツ,assets/images/retail-logo-directory/logo-sheet-04.jpg
4,世界の大手小売,10,Tesco,direct_detail,mb-retail-0174,テスコ / Tesco,assets/images/retail-logo-directory/logo-sheet-04.jpg
4,世界の大手小売,11,Sainsbury’s,direct_detail,mb-retail-0469,セインズベリーズ / Sainsbury’s,assets/images/retail-logo-directory/logo-sheet-04.jpg
4,世界の大手小売,12,Auchan,direct_detail,mb-retail-0277,オーシャン / Auchan,assets/images/retail-logo-directory/logo-sheet-04.jpg
4,世界の大手小売,13,Géant UAE,direct_detail,mb-retail-0413,ジェアンUAE / Géant UAE,assets/images/retail-logo-directory/logo-sheet-04.jpg
4,世界の大手小売,14,Coop Switzerland,direct_detail,mb-retail-0663,コープ・スイス / Coop Switzerland,assets/images/retail-logo-directory/logo-sheet-04.jpg
4,世界の大手小売,15,Shaw’s / Albertsons,direct_detail,mb-retail-0429,アルベルト / Albertsons / Safeway,assets/images/retail-logo-directory/logo-sheet-04.jpg
4,世界の大手小売,16,Colruyt,direct_detail,mb-retail-0347,コルライト / Colruyt,assets/images/retail-logo-directory/logo-sheet-04.jpg
5,日本のスーパーマーケット,1,ベルク,direct_detail,mb-retail-0383,ベルク,assets/images/retail-logo-directory/logo-sheet-05.jpg
5,日本のスーパーマーケット,2,ベルジョイス,direct_detail,mb-retail-0384,ベルジョイス / スーパーアークス・ジョイス・ビッグハウス,assets/images/retail-logo-directory/logo-sheet-05.jpg
5,日本のスーパーマーケット,3,マミーマート,direct_detail,mb-retail-0385,マミーマート,assets/images/retail-logo-directory/logo-sheet-05.jpg
5,日本のスーパーマーケット,4,マルエツ,direct_detail,mb-retail-0387,マルエツ,assets/images/retail-logo-directory/logo-sheet-05.jpg
5,日本のスーパーマーケット,5,マルキョウ,direct_detail,mb-retail-0388,マルキョウ,assets/images/retail-logo-directory/logo-sheet-05.jpg
5,日本のスーパーマーケット,6,ヤオコー,direct_detail,mb-retail-0389,ヤオコー,assets/images/retail-logo-directory/logo-sheet-05.jpg
5,日本のスーパーマーケット,7,ヤマザワ,direct_detail,mb-retail-0390,ヤマザワ,assets/images/retail-logo-directory/logo-sheet-05.jpg
5,日本のスーパーマーケット,8,ヤマナカ,direct_detail,mb-retail-0391,ヤマナカ,assets/images/retail-logo-directory/logo-sheet-05.jpg
5,日本のスーパーマーケット,9,ライフ,direct_detail,mb-retail-0393,ライフ,assets/images/retail-logo-directory/logo-sheet-05.jpg
5,日本のスーパーマーケット,10,ロピア,direct_detail,mb-retail-0395,ロピア,assets/images/retail-logo-directory/logo-sheet-05.jpg
5,日本のスーパーマーケット,11,万代,direct_detail,mb-retail-0396,万代,assets/images/retail-logo-directory/logo-sheet-05.jpg
5,日本のスーパーマーケット,12,大黒天物産,direct_detail,mb-retail-0397,大黒天物産 / ラ・ムー・ディオ,assets/images/retail-logo-directory/logo-sheet-05.jpg
5,日本のスーパーマーケット,13,東急ストア,direct_detail,mb-retail-0399,東急ストア,assets/images/retail-logo-directory/logo-sheet-05.jpg
5,日本のスーパーマーケット,14,業務スーパー,direct_detail,mb-retail-0400,業務スーパー,assets/images/retail-logo-directory/logo-sheet-05.jpg
5,日本のスーパーマーケット,15,西友,direct_detail,mb-retail-0401,西友,assets/images/retail-logo-directory/logo-sheet-05.jpg
5,日本のスーパーマーケット,16,Kibsons,direct_detail,mb-retail-0409,キブソンズ / Kibsons,assets/images/retail-logo-directory/logo-sheet-05.jpg
6,アジア・オセアニアと世界大手,1,Emart,direct_detail,mb-retail-0325,イーマート / Emart,assets/images/retail-logo-directory/logo-sheet-06.jpg
6,アジア・オセアニアと世界大手,2,Woolworths Australia,direct_detail,mb-retail-0329,ウールワース / Woolworths Australia,assets/images/retail-logo-directory/logo-sheet-06.jpg
6,アジア・オセアニアと世界大手,3,No Brand,direct_detail,mb-retail-0328,ノーブランド / No Brand,assets/images/retail-logo-directory/logo-sheet-06.jpg
6,アジア・オセアニアと世界大手,4,emart24,direct_detail,mb-retail-0327,イーマート24 / emart24,assets/images/retail-logo-directory/logo-sheet-06.jpg
6,アジア・オセアニアと世界大手,5,Coles,direct_detail,mb-retail-0334,コールズ / Coles,assets/images/retail-logo-directory/logo-sheet-06.jpg
6,アジア・オセアニアと世界大手,6,LOTTE Mart,direct_detail,mb-retail-0342,ロッテ / LOTTE Mart,assets/images/retail-logo-directory/logo-sheet-06.jpg
6,アジア・オセアニアと世界大手,7,Carrefour,direct_detail,mb-retail-0111,カルフール・フランス / Carrefour フランス,assets/images/retail-logo-directory/logo-sheet-06.jpg
6,アジア・オセアニアと世界大手,8,Tesco,direct_detail,mb-retail-0174,テスコ / Tesco,assets/images/retail-logo-directory/logo-sheet-06.jpg
6,アジア・オセアニアと世界大手,9,Costco,direct_detail,mb-retail-0084,コストコ / Costco,assets/images/retail-logo-directory/logo-sheet-06.jpg
6,アジア・オセアニアと世界大手,10,ALDI,direct_detail,mb-retail-0132,アルディ・ズード / ALDI SÜD,assets/images/retail-logo-directory/logo-sheet-06.jpg
6,アジア・オセアニアと世界大手,11,Lidl,direct_detail,mb-retail-0159,リドル・ドイツ / Lidl ドイツ,assets/images/retail-logo-directory/logo-sheet-06.jpg
6,アジア・オセアニアと世界大手,12,REWE,direct_detail,mb-retail-0764,レーヴェ / REWE,assets/images/retail-logo-directory/logo-sheet-06.jpg
6,アジア・オセアニアと世界大手,13,Kaufland,direct_detail,mb-retail-0752,カウフラント / Kaufland,assets/images/retail-logo-directory/logo-sheet-06.jpg
6,アジア・オセアニアと世界大手,14,METRO,direct_detail,mb-retail-0203,メトロ・ドイツ / METRO ドイツ,assets/images/retail-logo-directory/logo-sheet-06.jpg
6,アジア・オセアニアと世界大手,15,Ahold Delhaize,database_search,Ahold Delhaize,複数候補を検索表示,assets/images/retail-logo-directory/logo-sheet-06.jpg
6,アジア・オセアニアと世界大手,16,AEON,direct_detail,company-retail-aeon-jp,イオン,assets/images/retail-logo-directory/logo-sheet-06.jpg
7,欧米・アジアの小売ネットワーク,1,Ahold Delhaize,database_search,Ahold Delhaize,複数候補を検索表示,assets/images/retail-logo-directory/logo-sheet-07.jpg
7,欧米・アジアの小売ネットワーク,2,The Giant Company,direct_detail,mb-retail-0289,ザ・ジャイアント・カンパニー / The Giant Company,assets/images/retail-logo-directory/logo-sheet-07.jpg
7,欧米・アジアの小売ネットワーク,3,Giant Food,direct_detail,mb-retail-0290,ジャイアント・フード / Giant Food,assets/images/retail-logo-directory/logo-sheet-07.jpg
7,欧米・アジアの小売ネットワーク,4,Hannaford,direct_detail,mb-retail-0291,ハナフォード / Hannaford,assets/images/retail-logo-directory/logo-sheet-07.jpg
7,欧米・アジアの小売ネットワーク,5,Super Indo,direct_detail,mb-retail-0292,スーパーインド / Super Indo,assets/images/retail-logo-directory/logo-sheet-07.jpg
7,欧米・アジアの小売ネットワーク,6,ALDI,direct_detail,mb-retail-0132,アルディ・ズード / ALDI SÜD,assets/images/retail-logo-directory/logo-sheet-07.jpg
7,欧米・アジアの小売ネットワーク,7,Maxi / Loblaws Canada,direct_detail,mb-retail-0588,ロブロー / Loblaws / No Frills / Real Canadian Superstore,assets/images/retail-logo-directory/logo-sheet-07.jpg
7,欧米・アジアの小売ネットワーク,8,Albert Heijn,direct_detail,mb-retail-0293,アホールド・デレーズ / Albert Heijn,assets/images/retail-logo-directory/logo-sheet-07.jpg
7,欧米・アジアの小売ネットワーク,9,Delhaize,direct_detail,mb-retail-0300,デレーズ / Delhaize,assets/images/retail-logo-directory/logo-sheet-07.jpg
7,欧米・アジアの小売ネットワーク,10,Louis Delhaize,direct_detail,mb-retail-0302,ルイ・デレーズ / Louis Delhaize,assets/images/retail-logo-directory/logo-sheet-07.jpg
7,欧米・アジアの小売ネットワーク,11,Shop&Go,direct_detail,mb-retail-0304,ショップアンドゴー / Shop&Go,assets/images/retail-logo-directory/logo-sheet-07.jpg
7,欧米・アジアの小売ネットワーク,12,Mega Image,direct_detail,mb-retail-0305,メガ・イメージ / Mega Image,assets/images/retail-logo-directory/logo-sheet-07.jpg
7,欧米・アジアの小売ネットワーク,13,Circle K Canada,direct_detail,mb-retail-0307,サークルK / Circle K / Couche-Tard,assets/images/retail-logo-directory/logo-sheet-07.jpg
7,欧米・アジアの小売ネットワーク,14,Big C,direct_detail,mb-retail-0311,ビッグC / Big C,assets/images/retail-logo-directory/logo-sheet-07.jpg
7,欧米・アジアの小売ネットワーク,15,Loblaws,direct_detail,mb-retail-0588,ロブロー / Loblaws / No Frills / Real Canadian Superstore,assets/images/retail-logo-directory/logo-sheet-07.jpg
7,欧米・アジアの小売ネットワーク,16,Lotus’s Malaysia,direct_detail,mb-retail-0319,ロータス / Lotus's Malaysia,assets/images/retail-logo-directory/logo-sheet-07.jpg
8,ヨーロッパ・卸売・コンビニ,1,Trader Joe’s,direct_detail,mb-retail-0122,トレーダー・ジョーズ / Trader Joe’s,assets/images/retail-logo-directory/logo-sheet-08.jpg
8,ヨーロッパ・卸売・コンビニ,2,ALDI,direct_detail,mb-retail-0132,アルディ・ズード / ALDI SÜD,assets/images/retail-logo-directory/logo-sheet-08.jpg
8,ヨーロッパ・卸売・コンビニ,3,Lidl,direct_detail,mb-retail-0159,リドル・ドイツ / Lidl ドイツ,assets/images/retail-logo-directory/logo-sheet-08.jpg
8,ヨーロッパ・卸売・コンビニ,4,Tesco,direct_detail,mb-retail-0174,テスコ / Tesco,assets/images/retail-logo-directory/logo-sheet-08.jpg
8,ヨーロッパ・卸売・コンビニ,5,Booker,direct_detail,mb-retail-0175,ブッカー / Booker,assets/images/retail-logo-directory/logo-sheet-08.jpg
8,ヨーロッパ・卸売・コンビニ,6,Premier,direct_detail,mb-retail-0176,プレミア / Premier,assets/images/retail-logo-directory/logo-sheet-08.jpg
8,ヨーロッパ・卸売・コンビニ,7,Londis,direct_detail,mb-retail-0177,ロンディス / Londis,assets/images/retail-logo-directory/logo-sheet-08.jpg
8,ヨーロッパ・卸売・コンビニ,8,One Stop,direct_detail,mb-retail-0178,ワンストップ / One Stop,assets/images/retail-logo-directory/logo-sheet-08.jpg
8,ヨーロッパ・卸売・コンビニ,9,Star Bazaar,direct_detail,mb-retail-0179,スター・バザール / Star Bazaar,assets/images/retail-logo-directory/logo-sheet-08.jpg
8,ヨーロッパ・卸売・コンビニ,10,Žabka Czech Republic,direct_detail,mb-retail-0181,ジャプカ・チェコ / Žabka Czech Republic,assets/images/retail-logo-directory/logo-sheet-08.jpg
8,ヨーロッパ・卸売・コンビニ,11,ICA,direct_detail,mb-retail-0671,イカ / ICA,assets/images/retail-logo-directory/logo-sheet-08.jpg
8,ヨーロッパ・卸売・コンビニ,12,METRO,direct_detail,mb-retail-0203,メトロ・ドイツ / METRO ドイツ,assets/images/retail-logo-directory/logo-sheet-08.jpg
8,ヨーロッパ・卸売・コンビニ,13,Makro Netherlands,direct_detail,mb-retail-0189,メトロ（オランダ） / METRO NL,assets/images/retail-logo-directory/logo-sheet-08.jpg
8,ヨーロッパ・卸売・コンビニ,14,SPAR Netherlands,direct_detail,mb-retail-0235,スパー・オランダ / SPAR オランダ,assets/images/retail-logo-directory/logo-sheet-08.jpg
8,ヨーロッパ・卸売・コンビニ,15,INTERSPAR,direct_detail,mb-retail-0237,インタースパー / INTERSPAR,assets/images/retail-logo-directory/logo-sheet-08.jpg
8,ヨーロッパ・卸売・コンビニ,16,Auchan / Ocean France,direct_detail,mb-retail-0277,オーシャン / Auchan,assets/images/retail-logo-directory/logo-sheet-08.jpg
